sample_id,pattern,arrival_pattern,count,disk_size,initial_head,direction,spread,density,clustering,direction_bias,fcfs_dist,sstf_dist,scan_dist,cscan_dist,fcfs_var,sstf_var,scan_var,cscan_var,best_algorithm
367,sequential,sequential,40,200,134,DOWN,0.1638,1.0,0.0906,0.9897,72,72,72,72,81.85,81.85,81.85,81.85,FCFS
368,sequential,sequential,25,150,146,UP,0.1352,1.0,0.1633,0.9667,101,77,83,245,30.73,2677.58,2747.9,30.73,FCFS
369,sequential,bursty,38,250,107,UP,0.1243,1.0,0.1611,0.9676,169,132,132,132,93.74,5925.33,5925.33,5925.33,FCFS
370,sequential,all_at_once,23,300,256,DOWN,0.062,1.0,0.1206,0.9818,36,36,520,598,1485.62,1550.29,5250.53,6090.6,FCFS
371,sequential,bursty,18,400,106,DOWN,0.0359,1.0,0.1372,0.9765,65,65,277,750,209.47,209.47,303.05,4750.62,FCFS
372,sequential,bursty,34,250,244,UP,0.1135,1.0,0.1784,0.9636,72,38,48,494,124.16,4878.54,5022.85,818.09,FCFS
373,sequential,continuous,31,400,181,DOWN,0.0631,1.0,0.1789,0.96,99,99,461,729,1121.4,1121.4,1121.4,4795.63,FCFS
374,sequential,sequential,22,200,71,DOWN,0.0886,1.0,0.1234,0.981,68,47,189,372,23.09,2017.36,2780.57,23.09,FCFS
375,sequential,random,28,200,176,DOWN,0.1137,1.0,0.1089,0.9852,92,92,92,92,10.42,10.42,10.42,10.42,FCFS
376,sequential,random,32,400,369,DOWN,0.0651,1.0,0.1016,0.9871,121,121,121,121,61.3,61.3,61.3,61.3,FCFS
377,sequential,random,46,400,194,DOWN,0.0942,1.0,0.1461,0.9733,223,178,178,178,98.02,9213.99,9213.99,9213.99,FCFS
378,sequential,random,28,150,73,UP,0.1519,1.0,0.1089,0.9852,45,45,197,280,14.68,14.68,14.68,4924.9,FCFS
379,sequential,continuous,26,300,109,UP,0.0701,1.0,0.16,0.968,56,31,31,31,783.35,2564.86,2564.86,2564.86,FCFS
380,sequential,continuous,45,250,35,UP,0.1474,1.0,0.1206,0.9818,54,78,438,497,2390.82,6670.93,10591.33,11392.07,FCFS
381,sequential,continuous,47,200,62,UP,0.1929,1.0,0.0834,0.9913,123,123,123,123,2640.37,2640.37,2640.37,2640.37,FCFS
382,sequential,bursty,50,200,13,UP,0.2056,1.0,0.1143,0.9837,118,118,118,118,75.03,75.03,75.03,75.03,FCFS
383,sequential,continuous,40,150,35,UP,0.2187,1.0,0.1569,0.9692,49,49,49,49,1885.65,1885.65,1885.65,1885.65,FCFS
384,sequential,random,36,300,244,UP,0.0979,1.0,0.1352,0.9771,213,178,288,455,54.95,6078.93,7118.56,54.95,FCFS
385,sequential,continuous,28,150,22,UP,0.152,1.0,0.1886,0.9556,30,30,30,30,891.42,891.42,891.42,891.42,FCFS
386,sequential,all_at_once,12,200,106,UP,0.047,1.0,0.1706,0.9636,42,42,42,42,386.38,386.38,386.38,386.38,FCFS
387,sequential,all_at_once,41,200,191,DOWN,0.1679,1.0,0.0,1.0,94,54,54,54,4742.14,4742.14,4742.14,4742.14,SSTF
388,sequential,random,29,400,308,UP,0.0588,1.0,0.1069,0.9857,59,31,213,795,23.61,3246.6,4592.23,23.78,FCFS
389,sequential,sequential,39,400,268,DOWN,0.0797,1.0,0.1298,0.9789,210,210,210,210,73.98,73.98,73.98,73.98,FCFS
390,sequential,random,39,250,49,UP,0.1276,1.0,0.0,1.0,80,80,80,80,23.08,23.08,23.08,23.08,FCFS
391,sequential,all_at_once,39,250,183,UP,0.1277,1.0,0.1298,0.9789,47,47,179,489,4198.96,4198.96,4198.96,4198.96,FCFS
392,sequential,sequential,31,250,145,UP,0.1034,1.0,0.1575,0.9733,32,32,32,32,45.62,45.62,45.62,45.62,FCFS
393,sequential,all_at_once,50,300,218,DOWN,0.1368,1.0,0.0,1.0,247,198,198,198,7053.93,7053.93,7053.93,7053.93,SSTF
394,sequential,random,16,200,35,DOWN,0.0637,1.0,0.0,1.0,34,19,89,394,42.87,1056.12,1343.51,42.87,FCFS
395,sequential,bursty,10,250,98,UP,0.0309,1.0,0.0,1.0,14,14,306,497,68.88,164.74,177.14,705.86,FCFS
396,sequential,random,27,250,77,UP,0.0875,1.0,0.1109,0.9846,88,62,62,62,53.62,3070.88,3070.88,3070.88,FCFS
397,sequential,bursty,33,200,15,UP,0.1347,1.0,0.1,0.9875,97,65,65,65,74.98,4417.95,4417.95,4417.95,FCFS
398,sequential,all_at_once,20,300,257,DOWN,0.0534,1.0,0.1298,0.9789,173,154,154,154,1104.15,1104.15,1104.15,1104.15,SSTF
399,sequential,sequential,28,250,157,UP,0.0911,1.0,0.154,0.9704,135,135,319,390,35.73,35.73,35.73,5425.35,FCFS
400,sequential,bursty,40,200,116,DOWN,0.1638,1.0,0.1281,0.9795,93,93,93,93,68.64,68.64,68.64,68.64,FCFS
401,clustered,sequential,45,300,275,UP,0.4873,0.5056,1.0,0.2707,1004,219,267,556,2184.94,4138.33,4483.35,6650.67,SSTF
402,clustered,continuous,48,150,134,DOWN,0.428,1.0,0.8992,0.3102,431,102,102,102,4700.41,5141.5,5141.5,5141.5,FCFS
403,clustered,all_at_once,33,150,144,UP,0.4925,0.7586,0.989,0.2703,442,110,120,274,5074.19,2951.79,2951.79,2951.79,SSTF
404,clustered,sequential,42,200,146,UP,0.5662,0.6562,1.0,0.2541,827,144,216,363,2012.16,4110.63,4676.55,3870.32,FCFS
405,clustered,continuous,43,300,59,UP,0.4848,0.5181,0.8629,0.291,877,184,184,184,6610.08,4241.46,4241.46,4241.46,SSTF
406,clustered,bursty,15,400,228,UP,0.4375,0.1622,1.0,0.2719,544,254,456,715,200.08,2105.73,3514.46,6310.01,FCFS
407,clustered,continuous,42,300,233,UP,0.489,0.506,0.8774,0.3091,992,170,302,593,6716.49,6896.24,7404.22,4797.97,C-SCAN
408,clustered,all_at_once,29,150,101,DOWN,0.469,0.6905,0.8228,0.4183,223,97,216,298,3098.4,2292.52,2544.94,2890.62,SSTF
409,clustered,bursty,23,400,37,UP,0.3193,0.3194,0.8224,0.4883,505,281,281,281,283.06,676.42,676.42,676.42,FCFS
410,clustered,bursty,14,400,30,UP,0.4036,0.1657,0.9461,0.2194,701,255,255,255,579.73,1246.35,1246.35,1246.35,FCFS
411,clustered,bursty,28,300,92,UP,0.494,0.3164,0.8696,0.2891,761,203,441,578,413.33,1773.52,1106.43,1152.79,FCFS
412,clustered,all_at_once,34,300,193,DOWN,0.553,0.3757,1.0,0.2119,1055,222,428,585,9122.99,4279.48,5650.05,7300.22,SSTF
413,clustered,all_at_once,44,200,167,DOWN,0.491,0.7458,0.9407,0.2652,682,128,128,128,9115.65,5231.33,5231.33,5231.33,SSTF
414,clustered,sequential,44,300,270,UP,0.4994,0.5176,0.9455,0.264,934,200,258,567,2556.05,4894.51,5548.55,5116.45,SSTF
415,clustered,continuous,11,250,118,DOWN,0.3674,0.2222,0.7163,0.5115,235,136,296,459,473.36,837.71,1668.9,2755.27,SSTF
416,clustered,sequential,24,200,117,DOWN,0.4981,0.4103,0.5232,0.2795,413,186,280,392,481.53,2017.19,2491.78,3060.35,FCFS
417,clustered,continuous,22,150,8,DOWN,0.0901,1.0,0.4729,0.2131,174,75,91,240,766.4,1183.51,1199.94,1164.97,FCFS
418,clustered,continuous,25,200,17,UP,0.428,0.495,0.7532,0.4226,381,134,134,134,1484.24,2609.38,2609.38,2609.38,FCFS
419,clustered,sequential,38,400,344,UP,0.5568,0.3016,0.959,0.3007,1151,277,387,772,2381.34,3844.6,4728.53,8650.49,SSTF
420,clustered,continuous,12,300,224,UP,0.4541,0.1611,0.7903,0.6274,343,208,294,596,575.7,1293.36,1206.03,1386.26,FCFS
421,clustered,sequential,13,200,128,DOWN,0.3457,0.3421,0.8201,0.2156,210,92,271,394,93.12,806.26,517.58,954.74,FCFS
422,clustered,sequential,46,250,147,DOWN,0.4735,0.6866,0.8574,0.2019,738,224,336,481,1503.97,6574.99,7747.78,9024.57,FCFS
423,clustered,random,19,400,113,DOWN,0.5542,0.1564,0.8158,0.3257,528,274,436,716,702.72,1272.31,2129.22,2007.06,SSTF
424,clustered,bursty,13,400,302,UP,0.0899,0.5652,0.4041,0.2795,144,81,230,796,59.07,426.69,1166.78,2004.34,FCFS
425,clustered,continuous,41,150,88,DOWN,0.4457,1.0,0.8593,0.2031,424,98,196,291,3568.4,4229.51,5137.36,5840.34,SSTF
426,clustered,bursty,36,300,76,DOWN,0.5085,0.3871,0.8671,0.2626,762,227,311,598,334.15,2870.05,3500.01,4974.22,FCFS
427,clustered,random,44,300,123,UP,0.4718,0.5333,1.0,0.2564,755,278,402,575,723.49,5306.58,6233.02,6025.86,FCFS
428,clustered,bursty,19,300,29,DOWN,0.4667,0.2197,0.876,0.333,467,209,267,561,191.57,509.62,649.07,3512.01,SCAN
429,clustered,random,43,200,99,UP,0.2551,1.0,1.0,0.2141,401,68,250,396,442.92,2214.8,3328.91,5697.99,SSTF
430,clustered,all_at_once,31,150,115,DOWN,0.4971,0.6889,0.8431,0.2796,356,89,230,298,4199.01,2635.07,2785.94,2869.24,SSTF
431,clustered,continuous,22,150,68,DOWN,0.3332,0.8148,1.0,0.2259,260,64,147,294,1096.81,1531.22,1518.74,2413.38,SSTF
432,clustered,bursty,12,150,48,UP,0.4129,0.338,1.0,0.6786,147,76,208,293,73.1,471.8,243.13,243.44,FCFS
433,clustered,sequential,31,250,244,UP,0.4958,0.4559,0.7999,0.2396,706,193,203,440,1120.74,1899.43,1986.97,3214.58,SSTF
434,clustered,bursty,17,300,124,UP,0.4412,0.2329,1.0,0.4714,277,181,386,574,110.48,504.11,3566.74,5409.4,FCFS
435,clustered,bursty,45,250,198,DOWN,0.5809,0.5844,1.0,0.3317,657,153,396,498,211.16,2358.01,3774.76,3972.24,FCFS
436,clustered,random,44,250,78,DOWN,0.4726,0.6286,0.9967,0.3245,659,162,278,495,1361.27,6600.89,7604.33,4412.82,FCFS
437,clustered,random,41,300,50,DOWN,0.2923,0.8283,1.0,0.3221,473,182,282,514,466.2,1409.07,1625.78,10093.96,SSTF
438,clustered,continuous,33,250,105,UP,0.2604,0.8462,1.0,0.3853,307,117,325,466,2277.03,2030.66,2691.6,3278.49,SSTF
439,clustered,random,19,150,66,DOWN,0.3406,0.6552,0.7891,0.2687,225,88,184,298,87.62,1584.4,2082.69,1173.52,FCFS
440,clustered,continuous,22,250,58,DOWN,0.4831,0.3284,0.9373,0.4576,450,138,254,493,1531.76,2239.75,2539.58,1180.0,SSTF
441,clustered,random,41,400,335,DOWN,0.5915,0.3015,1.0,0.2127,930,277,277,277,1591.82,2514.76,2514.76,2514.76,FCFS
442,clustered,sequential,41,300,86,DOWN,0.4871,0.474,1.0,0.2022,872,186,330,598,1956.9,2405.48,3193.99,8676.86,SCAN
443,clustered,continuous,44,300,94,UP,0.2868,0.8627,1.0,0.2092,588,132,437,596,5053.39,5869.9,6822.76,8268.51,SSTF
444,clustered,sequential,14,150,1,DOWN,0.2781,0.56,1.0,0.4989,132,92,94,255,33.89,139.45,143.05,1372.61,SSTF
445,clustered,sequential,24,150,38,UP,0.5407,0.5333,0.8311,0.2089,243,103,226,297,300.98,1295.24,2773.42,3121.27,SSTF
446,clustered,bursty,39,250,15,DOWN,0.5482,0.5132,1.0,0.2601,834,185,215,464,579.09,5679.4,5998.11,4988.34,FCFS
447,clustered,all_at_once,10,400,282,DOWN,0.0577,0.6897,0.3057,0.3485,111,51,51,51,404.11,288.82,288.82,288.82,SSTF
448,clustered,all_at_once,43,250,137,DOWN,0.4953,0.6014,1.0,0.2168,697,232,326,466,9619.61,5550.46,6080.48,6929.61,SSTF
449,clustered,continuous,37,200,27,UP,0.514,0.6016,1.0,0.3027,385,135,135,135,2690.39,3909.76,3909.76,3909.76,FCFS
450,clustered,random,25,200,158,DOWN,0.3013,0.7353,0.9558,0.2418,325,115,115,115,118.06,1819.32,1819.32,1819.32,FCFS
451,clustered,bursty,35,150,95,DOWN,0.4962,0.8046,0.9111,0.2701,396,106,210,290,155.47,2272.9,2325.09,2797.3,SSTF
452,clustered,all_at_once,25,200,76,UP,0.2604,0.8065,0.9366,0.213,180,88,280,381,2419.03,1721.42,2707.5,3413.03,SSTF
453,clustered,all_at_once,35,300,193,DOWN,0.3415,0.5882,0.8443,0.2846,610,163,431,593,7385.35,4053.62,6491.43,8561.44,SSTF
454,clustered,bursty,10,200,21,DOWN,0.3121,0.2857,0.5483,0.5644,129,108,150,359,136.92,319.85,319.85,801.85,FCFS
455,clustered,sequential,31,400,48,UP,0.5174,0.2638,1.0,0.2292,1188,275,275,275,2337.14,3328.65,3328.65,3328.65,FCFS
456,clustered,all_at_once,46,300,138,UP,0.5167,0.5198,1.0,0.2712,774,270,404,537,11202.78,7394.14,8980.82,10758.29,SSTF
457,clustered,sequential,27,400,288,UP,0.5517,0.2186,0.8589,0.2484,1030,291,423,737,2293.01,1935.27,2733.55,8170.8,SSTF
458,clustered,bursty,11,200,150,UP,0.0461,1.0,0.5257,0.3755,117,86,184,323,84.4,373.58,452.29,820.98,FCFS
459,clustered,continuous,29,200,144,UP,0.5306,0.4793,0.8565,0.3053,325,141,209,369,2063.74,2875.99,3401.27,5351.5,SSTF
460,clustered,all_at_once,44,250,98,UP,0.4485,0.6718,1.0,0.3134,570,169,341,477,8967.79,5408.89,7356.48,9277.63,SSTF
461,clustered,sequential,32,150,25,DOWN,0.5645,0.6809,1.0,0.3779,353,96,146,295,442.1,1380.02,1632.08,4030.14,SSTF
462,clustered,random,31,400,393,DOWN,0.3163,0.4306,1.0,0.2218,964,207,207,207,1476.86,2838.59,2838.59,2838.59,FCFS
463,clustered,bursty,50,250,200,DOWN,0.5114,0.7194,1.0,0.2327,693,147,147,147,84.15,902.31,902.31,902.31,FCFS
464,clustered,sequential,32,400,192,DOWN,0.4986,0.2857,0.9481,0.288,909,357,518,798,2144.31,4821.08,4179.94,6021.28,SCAN
465,clustered,sequential,47,300,43,DOWN,0.512,0.5311,1.0,0.2445,829,197,283,577,1945.18,5306.85,6319.54,5325.97,SSTF
466,clustered,bursty,14,150,68,UP,0.3646,0.4667,0.8811,0.4341,127,88,192,278,42.08,1065.68,1583.16,2024.75,FCFS
467,clustered,random,50,200,189,DOWN,0.5276,0.8403,0.8802,0.2049,738,142,142,142,1410.82,4755.63,4755.63,4755.63,FCFS
468,clustered,bursty,16,150,1,DOWN,0.0747,1.0,0.5299,0.2759,113,57,59,255,161.81,673.62,698.25,1569.95,FCFS
469,clustered,sequential,27,150,33,UP,0.5593,0.551,0.6666,0.2015,450,104,239,297,610.6,1363.29,1387.56,1601.66,SSTF
470,clustered,all_at_once,38,400,284,DOWN,0.485,0.3319,1.0,0.2951,848,258,598,789,9958.58,5096.3,8746.43,11444.63,SSTF
471,clustered,continuous,15,250,141,UP,0.3638,0.297,0.7646,0.245,305,137,279,457,939.95,912.15,1602.68,2685.84,SSTF
472,clustered,bursty,30,300,6,DOWN,0.4786,0.355,1.0,0.4441,428,224,236,542,211.72,565.99,613.79,6619.12,SSTF
473,clustered,bursty,15,400,124,UP,0.3234,0.2128,0.9832,0.2084,379,153,153,153,217.03,481.16,481.16,481.16,FCFS
474,clustered,bursty,18,250,77,DOWN,0.498,0.25,0.6573,0.354,398,167,273,460,153.29,2345.55,3034.28,2380.94,FCFS
475,clustered,bursty,14,200,111,DOWN,0.3729,0.3544,1.0,0.253,201,103,247,381,150.39,459.27,1678.62,2637.24,SSTF
476,clustered,sequential,40,150,92,DOWN,0.5478,0.8247,0.9545,0.2704,447,159,217,280,831.28,1938.92,2179.93,2618.41,FCFS
477,clustered,all_at_once,50,300,100,DOWN,0.4998,0.5848,1.0,0.232,1039,212,328,550,17325.86,7778.42,9106.75,12048.51,SSTF
478,clustered,continuous,29,150,101,DOWN,0.4802,0.7436,1.0,0.2223,376,91,212,297,2420.06,2259.4,3086.86,3669.14,SSTF
479,clustered,continuous,31,300,171,DOWN,0.4551,0.3949,0.7433,0.3423,479,262,392,568,2640.25,3033.07,3952.83,5461.4,SSTF
480,clustered,bursty,29,250,154,UP,0.3294,0.6444,1.0,0.3438,576,131,237,473,230.19,3035.21,3785.87,5288.26,FCFS
481,clustered,bursty,21,300,163,DOWN,0.509,0.2471,0.7098,0.2972,402,297,404,594,230.85,2060.16,1706.49,4406.42,FCFS
482,clustered,bursty,25,250,96,DOWN,0.2523,0.6579,0.762,0.2253,294,97,289,476,229.77,675.2,1319.61,4820.47,SSTF
483,clustered,continuous,17,400,102,UP,0.3299,0.2361,0.9089,0.55,412,171,171,171,985.14,1703.29,1703.29,1703.29,FCFS
484,clustered,all_at_once,39,200,112,DOWN,0.4644,0.6667,0.8943,0.2369,472,207,279,395,6788.91,4525.15,5519.95,6405.38,SSTF
485,clustered,sequential,41,200,162,DOWN,0.4865,0.7523,0.971,0.3235,393,114,114,114,623.8,1766.68,1766.68,1766.68,FCFS
486,clustered,bursty,19,300,193,UP,0.6034,0.1969,1.0,0.3791,757,241,355,492,176.31,1649.62,2264.1,3672.51,SSTF
487,clustered,continuous,40,400,205,DOWN,0.4567,0.3687,1.0,0.2089,892,330,512,721,6420.08,5969.75,7181.56,8794.59,SSTF
488,clustered,all_at_once,33,400,304,UP,0.5032,0.2845,0.7557,0.2582,1202,248,408,796,11742.08,4149.31,4636.39,6398.53,SSTF
489,clustered,continuous,32,200,165,UP,0.4583,0.5926,0.8371,0.2077,521,114,182,391,3156.29,3315.23,3665.26,2590.5,SSTF
490,clustered,all_at_once,35,250,247,DOWN,0.5289,0.4698,0.9334,0.2747,805,199,199,199,7135.63,4006.92,4006.92,4006.92,SSTF
491,clustered,bursty,16,250,56,UP,0.3437,0.2883,1.0,0.523,223,133,133,133,66.52,633.85,633.85,633.85,FCFS
492,clustered,random,35,300,256,UP,0.5312,0.3784,0.887,0.2141,959,196,282,586,1425.71,4015.2,4521.62,3320.94,FCFS
493,clustered,all_at_once,40,150,75,DOWN,0.4658,1.0,1.0,0.2579,396,112,190,273,6374.59,4212.88,4941.25,5666.29,SSTF
494,clustered,bursty,19,250,79,DOWN,0.4701,0.2815,0.6593,0.2051,363,153,273,496,48.14,310.92,575.46,1642.43,SSTF
495,clustered,all_at_once,43,300,178,DOWN,0.5172,0.4725,1.0,0.227,1001,294,424,549,13854.91,6127.75,7194.13,8409.99,SSTF
496,clustered,all_at_once,38,250,17,DOWN,0.4078,0.623,0.9792,0.2556,481,180,214,439,6024.01,4023.43,4023.43,4023.43,SSTF
497,clustered,sequential,17,150,87,UP,0.3387,0.5862,1.0,0.2007,151,68,170,264,65.28,338.95,549.23,960.26,FCFS
498,clustered,random,25,400,89,UP,0.5255,0.2252,1.0,0.2589,797,233,233,233,1081.01,2398.0,2398.0,2398.0,FCFS
499,clustered,sequential,37,300,118,DOWN,0.5418,0.4229,1.0,0.2133,877,217,367,497,1602.45,1968.89,2842.37,4751.32,SSTF
500,clustered,continuous,50,300,202,UP,0.4907,0.5814,1.0,0.2515,714,199,337,557,7234.86,6607.91,7538.8,7981.25,SSTF
501,clustered,all_at_once,38,400,219,DOWN,0.5236,0.3207,1.0,0.2927,1063,368,550,795,12379.69,6553.19,8761.76,11276.73,SSTF
502,clustered,continuous,23,200,71,UP,0.5292,0.374,0.9349,0.361,389,144,278,380,1294.34,1868.26,1569.81,1945.6,SSTF
503,clustered,sequential,44,200,93,DOWN,0.3205,1.0,1.0,0.2086,456,92,204,398,831.54,2970.9,5112.76,5934.77,SSTF
504,clustered,continuous,17,250,171,DOWN,0.0621,1.0,0.4511,0.2261,121,19,19,19,506.2,546.16,546.16,546.16,FCFS
505,clustered,continuous,30,400,198,DOWN,0.4662,0.2715,0.9437,0.2974,1020,328,502,798,6081.35,4121.32,4799.57,4912.56,SSTF
506,clustered,continuous,32,250,216,DOWN,0.499,0.4384,0.9664,0.2836,750,167,167,167,3751.85,3458.71,3458.71,3458.71,SSTF
507,clustered,sequential,29,400,302,UP,0.5576,0.2239,0.895,0.276,851,298,420,797,1374.1,4262.51,4992.85,5534.08,FCFS
508,clustered,sequential,17,200,78,UP,0.3751,0.4048,1.0,0.2182,211,100,259,394,159.07,296.93,1505.52,2518.2,SSTF
509,clustered,continuous,19,400,198,DOWN,0.4663,0.1776,0.6218,0.4451,664,330,495,794,2173.08,2537.74,4140.54,6788.68,SSTF
510,clustered,bursty,46,300,216,UP,0.5625,0.5027,1.0,0.201,674,206,324,597,58.54,907.63,990.81,869.94,SSTF
511,clustered,bursty,44,200,142,UP,0.5405,0.7273,1.0,0.36,607,142,214,397,152.13,4891.12,5436.77,4764.1,SSTF
512,clustered,continuous,18,200,80,DOWN,0.319,0.5143,0.97,0.1973,233,102,196,372,831.77,1185.14,1661.0,2631.41,SSTF
513,clustered,sequential,32,150,124,UP,0.4946,0.7356,0.8063,0.2055,301,99,149,285,306.11,1366.43,1632.83,4857.22,SSTF
514,clustered,bursty,45,400,334,DOWN,0.5647,0.3529,1.0,0.2462,1301,260,260,260,320.38,5816.83,5816.83,5816.83,FCFS
515,clustered,sequential,41,300,227,DOWN,0.4745,0.491,1.0,0.2,663,190,470,596,1207.18,2962.79,5709.55,6644.63,SSTF
516,clustered,all_at_once,46,150,56,DOWN,0.5127,1.0,1.0,0.2314,412,160,172,289,8517.32,5701.45,6183.14,7879.48,SSTF
517,clustered,bursty,24,400,147,UP,0.476,0.2286,0.785,0.2915,857,262,557,773,588.8,2849.32,5442.09,7854.15,SSTF
518,clustered,continuous,41,400,261,UP,0.5047,0.3431,0.9707,0.2018,1066,303,449,759,9368.3,5820.58,6742.9,9518.94,SSTF
519,clustered,bursty,27,400,187,UP,0.5567,0.2222,1.0,0.3452,1058,368,540,706,1091.52,1587.34,2169.14,2922.11,SSTF
520,clustered,random,23,300,52,UP,0.2256,0.575,0.5391,0.3945,416,104,104,104,122.41,2321.43,2321.43,2321.43,FCFS
521,clustered,bursty,38,250,89,UP,0.4728,0.5468,0.9415,0.3171,756,242,354,480,383.98,4273.73,4788.75,5647.75,FCFS
522,clustered,continuous,25,200,188,DOWN,0.2776,0.7143,0.9447,0.4313,300,107,107,107,1196.41,1803.37,1803.37,1803.37,FCFS
523,clustered,sequential,37,200,157,UP,0.5607,0.5441,0.915,0.1923,589,147,207,395,1036.59,3260.35,3690.59,4764.09,FCFS
524,clustered,continuous,13,400,179,DOWN,0.0787,0.65,0.2758,0.2594,232,95,453,742,480.16,497.57,504.02,638.04,SSTF
525,clustered,random,20,250,180,DOWN,0.4966,0.2941,0.6452,0.3117,401,164,367,494,224.69,912.82,1219.99,1561.03,FCFS
526,clustered,sequential,27,400,347,UP,0.5406,0.2222,1.0,0.4381,590,275,379,765,963.62,1987.07,2248.51,6158.75,SCAN
527,clustered,sequential,36,150,70,UP,0.5668,0.7579,0.9364,0.3082,336,144,202,266,371.69,1555.3,1775.33,2536.61,SSTF
528,clustered,bursty,19,250,212,UP,0.4963,0.2923,1.0,0.2233,486,155,229,472,178.94,2379.28,2928.59,1520.69,FCFS
529,clustered,bursty,19,400,323,DOWN,0.2262,0.3585,0.6335,0.4663,345,118,118,118,259.26,2539.83,2539.83,2539.83,FCFS
530,clustered,continuous,38,150,23,DOWN,0.5049,0.8941,1.0,0.4373,300,96,142,286,2461.18,4700.22,5058.9,1977.49,SSTF
531,clustered,random,27,250,116,DOWN,0.3305,0.5934,0.9801,0.3315,344,95,317,498,356.39,1274.06,2197.19,3023.39,FCFS
532,clustered,all_at_once,10,150,117,DOWN,0.3433,0.3571,0.7459,0.5567,97,75,75,75,429.85,367.47,367.47,367.47,SSTF
533,clustered,bursty,35,200,109,UP,0.4926,0.6034,0.9382,0.2122,395,204,249,397,167.49,4224.97,1316.64,4089.71,FCFS
534,clustered,continuous,30,250,86,UP,0.4866,0.4196,0.8113,0.2737,549,179,363,479,3267.99,2262.44,2856.35,3473.54,SSTF
535,clustered,bursty,31,150,11,UP,0.535,0.6889,0.9396,0.2635,409,111,111,111,85.96,1626.14,1626.14,1626.14,FCFS
536,clustered,all_at_once,17,200,112,DOWN,0.3484,0.4304,0.8663,0.4582,218,96,242,396,1147.38,947.87,1391.56,2074.16,SSTF
537,clustered,sequential,22,200,166,DOWN,0.4807,0.3793,0.8726,0.3366,321,124,124,124,265.64,1444.17,1444.17,1444.17,FCFS
538,clustered,random,15,250,64,UP,0.3427,0.3226,0.8383,0.5152,285,108,108,108,176.3,1280.61,1280.61,1280.61,FCFS
539,clustered,sequential,20,150,101,DOWN,0.3131,0.7273,0.6265,0.3734,203,74,74,74,106.85,1756.75,1756.75,1756.75,FCFS
540,clustered,bursty,15,150,0,UP,0.396,0.4478,0.749,0.2286,224,107,107,107,200.65,498.3,498.3,498.3,FCFS
541,clustered,all_at_once,18,400,115,DOWN,0.5787,0.1417,1.0,0.4905,465,286,450,623,2587.02,1806.77,2807.66,4212.02,SSTF
542,clustered,bursty,31,150,108,UP,0.4527,0.7654,1.0,0.356,278,94,148,263,136.83,1174.01,1384.27,2119.84,SSTF
543,clustered,all_at_once,24,300,45,UP,0.2609,0.5217,0.8085,0.3621,480,192,192,192,2717.57,1712.34,1712.34,1712.34,SSTF
544,clustered,sequential,33,250,35,DOWN,0.5024,0.4748,0.8856,0.213,658,168,238,468,830.14,4130.99,4737.38,1430.16,C-SCAN
545,clustered,continuous,19,150,135,UP,0.2301,0.9268,0.7362,0.2149,177,61,89,277,712.64,1101.81,1127.72,940.23,FCFS
546,clustered,sequential,20,300,179,UP,0.4675,0.2516,0.7504,0.3919,553,256,354,580,676.22,1780.28,1780.27,3315.67,SSTF
547,clustered,all_at_once,49,300,111,UP,0.4647,0.6282,1.0,0.2961,782,193,414,578,12469.18,7536.98,9541.47,11835.81,SSTF
548,clustered,random,17,400,373,DOWN,0.3868,0.2024,1.0,0.5358,367,252,252,252,400.66,737.31,737.31,737.31,FCFS
549,clustered,all_at_once,30,200,63,DOWN,0.4882,0.531,1.0,0.5104,335,123,227,369,3506.39,2644.9,3045.57,3486.88,SSTF
550,clustered,all_at_once,45,400,307,DOWN,0.5037,0.3863,1.0,0.2462,1044,247,247,247,13578.09,6805.72,6805.72,6805.72,SSTF
551,clustered,bursty,29,200,132,UP,0.448,0.5225,0.7327,0.2016,402,132,222,381,233.9,2119.41,2758.65,3096.55,SSTF
552,clustered,all_at_once,13,200,126,DOWN,0.3074,0.3768,0.6439,0.3791,186,68,252,398,744.21,602.64,822.1,1085.72,SSTF
553,clustered,random,41,400,36,UP,0.5494,0.313,0.7588,0.4292,816,297,297,297,1879.57,1007.5,1007.5,1007.5,SSTF
554,clustered,random,18,300,291,DOWN,0.5048,0.2222,0.8466,0.2982,549,222,222,222,619.43,1070.47,1070.47,1070.47,FCFS
555,clustered,continuous,21,300,37,UP,0.465,0.2675,0.8217,0.4873,329,186,186,186,1273.52,995.24,995.24,995.24,SSTF
556,clustered,all_at_once,10,250,55,UP,0.0676,0.9524,0.3677,0.2222,105,32,32,32,411.39,259.05,259.05,259.05,SSTF
557,clustered,bursty,42,250,160,DOWN,0.4942,0.5753,1.0,0.2734,593,262,348,476,89.41,1288.83,1420.22,1708.04,SSTF
558,clustered,random,35,150,137,UP,0.493,0.8434,1.0,0.266,398,99,123,281,486.44,950.61,1054.31,4455.66,SSTF
559,clustered,sequential,29,150,130,UP,0.3359,1.0,0.9914,0.2059,317,63,101,291,353.97,1288.5,1433.59,2877.78,SSTF
560,clustered,bursty,30,300,33,DOWN,0.4626,0.3468,0.971,0.3166,541,197,263,573,281.14,2117.97,2490.16,3424.45,FCFS
561,clustered,bursty,25,150,62,UP,0.2408,1.0,0.9453,0.2377,151,58,200,283,128.67,1330.33,1853.19,2332.31,FCFS
