sample_id,pattern,arrival_pattern,count,disk_size,initial_head,direction,spread,density,clustering,direction_bias,fcfs_dist,sstf_dist,scan_dist,cscan_dist,fcfs_var,sstf_var,scan_var,cscan_var,best_algorithm
222,sequential,all_at_once,43,250,117,UP,0.141,1.0,0.0873,0.9905,74,74,274,497,5164.1,5371.72,6974.21,9157.46,FCFS
223,sequential,bursty,35,300,55,DOWN,0.0929,1.0,0.1576,0.9647,104,71,181,560,70.08,4852.39,5870.72,893.42,FCFS
224,sequential,all_at_once,15,250,155,UP,0.0476,1.0,0.0,1.0,102,88,88,88,632.28,632.28,632.28,632.28,SSTF
225,sequential,bursty,27,400,324,DOWN,0.0546,1.0,0.1569,0.9692,68,42,690,782,64.52,3030.78,7924.67,215.74,FCFS
226,sequential,all_at_once,43,250,116,DOWN,0.1383,1.0,0.1091,0.981,120,79,79,79,5183.59,5183.59,5183.59,5183.59,SSTF
227,sequential,bursty,17,400,369,UP,0.0339,1.0,0.0,1.0,362,346,406,468,221.85,3022.24,3337.87,221.85,FCFS
228,sequential,bursty,24,300,173,DOWN,0.0644,1.0,0.1668,0.9652,118,118,464,503,216.66,216.66,496.62,6007.42,FCFS
229,sequential,random,16,250,109,DOWN,0.0509,1.0,0.0,1.0,36,21,21,21,9.11,1055.89,1055.89,1055.89,FCFS
230,sequential,all_at_once,19,300,34,UP,0.051,1.0,0.1886,0.9556,64,64,64,64,983.24,983.24,983.24,983.24,FCFS
231,sequential,continuous,37,150,95,UP,0.202,1.0,0.1633,0.9667,79,43,43,43,1585.44,5143.14,5143.14,5143.14,FCFS
232,sequential,all_at_once,47,400,287,DOWN,0.0963,1.0,0.118,0.9826,186,140,140,140,6118.84,6118.84,6118.84,6118.84,SSTF
233,sequential,continuous,32,300,26,DOWN,0.0891,1.0,0.1199,0.9871,151,151,203,479,1231.7,1231.7,1231.7,5187.37,FCFS
234,sequential,sequential,32,150,147,UP,0.1741,1.0,0.1016,0.9871,50,50,54,279,51.01,51.01,51.01,5841.12,FCFS
235,sequential,continuous,40,200,27,DOWN,0.1639,1.0,0.1281,0.9795,69,69,123,368,1884.39,1884.39,1884.39,7750.18,FCFS
236,sequential,bursty,17,250,146,UP,0.054,1.0,0.2449,0.925,136,120,326,394,101.0,1648.71,2347.65,101.0,FCFS
237,sequential,continuous,49,400,345,UP,0.1004,1.0,0.1414,0.975,142,94,202,752,2793.08,9241.44,10085.97,2793.08,FCFS
238,sequential,random,27,150,46,DOWN,0.142,1.0,0.2442,0.9231,53,53,145,270,8.35,8.35,8.35,4417.68,FCFS
239,sequential,continuous,32,150,46,UP,0.1743,1.0,0.1437,0.9742,52,52,52,52,1198.3,1198.3,1198.3,1198.3,FCFS
240,sequential,all_at_once,35,150,36,UP,0.1905,1.0,0.097,0.9882,71,71,71,71,3443.27,3443.27,3443.27,3443.27,FCFS
241,sequential,bursty,43,200,96,DOWN,0.1761,1.0,0.0873,0.9905,70,70,262,370,171.64,171.64,623.05,11706.23,FCFS
242,sequential,continuous,20,250,79,DOWN,0.0642,1.0,0.0,1.0,49,30,188,487,485.2,1601.28,1990.59,485.2,FCFS
243,sequential,continuous,15,150,39,UP,0.0794,1.0,0.0,1.0,21,21,227,297,272.39,962.53,2130.98,2589.51,FCFS
244,sequential,bursty,15,250,113,DOWN,0.0476,1.0,0.0,1.0,23,23,23,23,56.01,56.01,56.01,56.01,FCFS
245,sequential,continuous,38,300,139,UP,0.1035,1.0,0.1315,0.9784,159,122,442,513,1694.58,5914.05,7180.22,1694.58,FCFS
246,sequential,continuous,32,300,56,DOWN,0.0868,1.0,0.1016,0.9871,140,140,252,489,1214.22,1214.22,1214.22,5151.44,FCFS
247,sequential,bursty,43,250,11,UP,0.141,1.0,0.0873,0.9905,193,193,193,193,199.33,199.33,199.33,199.33,FCFS
248,sequential,sequential,13,150,52,DOWN,0.0682,1.0,0.1633,0.9667,55,43,147,267,7.01,774.36,1116.52,7.01,FCFS
249,sequential,all_at_once,26,250,83,UP,0.0843,1.0,0.16,0.968,28,28,28,28,1846.84,1846.84,1846.84,1846.84,FCFS
250,sequential,continuous,37,200,33,DOWN,0.1512,1.0,0.0943,0.9889,149,149,215,285,1635.58,1635.58,1635.58,6503.05,FCFS
251,sequential,all_at_once,24,400,286,DOWN,0.0484,1.0,0.118,0.9826,240,217,217,217,1588.67,1588.67,1588.67,1588.67,SSTF
252,sequential,all_at_once,12,300,9,DOWN,0.0315,1.0,0.1706,0.9636,264,264,282,345,394.6,394.6,394.6,394.6,FCFS
253,sequential,bursty,46,300,293,DOWN,0.1258,1.0,0.1461,0.9733,332,287,287,287,210.52,9014.67,9014.67,9014.67,FCFS
254,sequential,sequential,17,300,10,DOWN,0.0452,1.0,0.0,1.0,145,145,165,469,16.14,16.14,16.14,2766.2,FCFS
255,sequential,all_at_once,39,250,22,DOWN,0.1278,1.0,0.1835,0.9579,193,155,199,381,4136.63,4136.63,4136.63,4136.63,SSTF
256,sequential,bursty,37,400,205,UP,0.077,1.0,0.1118,0.9889,147,110,498,725,194.56,6297.43,10619.84,1953.02,FCFS
257,sequential,all_at_once,31,200,85,UP,0.1229,1.0,0.1684,0.96,38,49,237,397,2628.2,2755.54,4115.84,5545.31,FCFS
258,sequential,random,50,150,135,UP,0.2743,1.0,0.1143,0.9837,117,68,96,279,133.03,9433.47,9813.54,133.03,FCFS
259,sequential,random,19,200,26,UP,0.0761,1.0,0.1333,0.9778,82,64,64,64,17.84,1645.8,1645.8,1645.8,FCFS
260,sequential,sequential,21,400,78,UP,0.0423,1.0,0.1265,0.98,47,27,669,791,24.03,1757.21,4281.56,24.03,FCFS
261,sequential,continuous,41,300,288,DOWN,0.1119,1.0,0.1265,0.98,132,92,92,92,2005.75,6687.42,6687.42,6687.42,FCFS
262,sequential,sequential,50,400,165,DOWN,0.1026,1.0,0.0808,0.9918,176,127,127,127,131.37,10234.31,10234.31,10234.31,FCFS
263,sequential,random,14,300,226,DOWN,0.0368,1.0,0.0,1.0,135,122,122,122,8.53,1150.43,1150.43,1150.43,FCFS
264,sequential,random,13,250,129,UP,0.0408,1.0,0.1633,0.9667,36,24,264,486,6.87,681.42,1423.28,6.87,FCFS
265,sequential,random,38,150,14,DOWN,0.2076,1.0,0.1315,0.9784,111,74,102,261,34.48,5943.12,6253.26,34.48,FCFS
266,sequential,bursty,15,400,304,DOWN,0.0297,1.0,0.0,1.0,82,82,690,730,99.2,99.2,185.8,3360.98,FCFS
267,sequential,random,45,150,115,UP,0.2422,1.0,0.1377,0.9727,142,99,167,242,12.17,7902.45,8682.41,12.17,FCFS
268,sequential,bursty,40,400,77,UP,0.0816,1.0,0.1281,0.9795,257,218,218,218,247.49,7558.19,7558.19,7558.19,FCFS
269,sequential,all_at_once,31,150,129,UP,0.1685,1.0,0.0,1.0,70,40,80,288,2709.79,2709.79,2709.79,2709.79,SSTF
270,sequential,random,38,300,268,UP,0.1035,1.0,0.093,0.9892,186,149,211,486,9.99,6284.28,6901.15,9.99,FCFS
271,sequential,continuous,28,300,209,DOWN,0.0757,1.0,0.1089,0.9852,105,78,496,547,925.83,3197.5,3935.36,925.83,FCFS
272,sequential,all_at_once,50,250,16,DOWN,0.1643,1.0,0.0808,0.9918,146,146,178,401,7038.32,7038.32,7038.32,7038.32,FCFS
273,sequential,random,34,250,64,UP,0.111,1.0,0.0985,0.9879,178,178,178,178,38.23,38.23,38.23,38.23,FCFS
274,sequential,bursty,47,200,89,DOWN,0.1928,1.0,0.0834,0.9913,84,54,216,398,96.98,8970.11,11053.57,2270.25,FCFS
275,sequential,random,48,150,79,DOWN,0.2632,1.0,0.165,0.966,50,50,208,295,50.08,50.08,50.08,11232.54,FCFS
276,sequential,all_at_once,43,150,108,DOWN,0.2354,1.0,0.0873,0.9905,117,75,75,75,5164.1,5164.1,5164.1,5164.1,SSTF
277,sequential,bursty,29,200,54,DOWN,0.1145,1.0,0.135,0.9714,65,38,38,38,28.69,3228.66,3228.66,3228.66,FCFS
278,sequential,random,24,200,39,UP,0.0935,1.0,0.1941,0.9478,83,83,83,83,26.56,26.56,26.56,26.56,FCFS
279,sequential,random,42,400,378,UP,0.086,1.0,0.0883,0.9902,367,326,368,513,57.38,9704.71,10194.82,57.38,FCFS
